Verbatim;Categorie;Libelle;Compar
as une grande pro de l'organisation et des process;Organisation;Ce qui me met en difficulté;1
Aspect d'échange avec les développeurs très fluides. Très agréable. Pas de clivage;Collectif;Ce que j'apprécie;1
Attachement à l'utilité et au plaisir du soin;Travail;Ce que j'apprécie;1
attente réponse formation fimo;Evolution;Ce qui me met en difficulté;1
Au magasin, je suis en contact direct avec le pôle santé. Hyper intéressant de voir ce qui peut être fait par notre entreprise;Travail;Ce que j'apprécie;1
au pôle boissons canettes et tri;Travail;Ce que j'apprécie;1
au tri sur le tapi;Travail;Ce que j'apprécie;1
Aucun;Autres;Ce qui me met en difficulté;1
Aucune;Autres;Ce qui me met en difficulté;1
Aucune difficultés pour moi sauf les bouchons dans Paris;Environnement;Ce qui me met en difficulté;1
augmentation de salair;Rémunération;Ce qui me met en difficulté;1
augmentation de salaire;Rémunération;Ce que j'apprécie;1
Augmentation de salaire sans aller la demander.;Rémunération;Ce que j'apprécie;1
augmentation du handicap;Autres;Ce qui me met en difficulté;1
Aujourd'hui, pas grand-chose ;Autres;Ce que j'apprécie;1
autonomie;Autonomie;Ce que j'apprécie;1
Autonomie à moitié;Autonomie;Ce que j'apprécie;1
Autonomie et confiance donnée aux collaborateurs;Autonomie;Ce que j'apprécie;1
"Autonomie et Responsabilisation dans les tâches; participation à la politique générale de l'entreprise; développement de nouveaux projets";Autonomie;Ce que j'apprécie;1
Autonomie, confiance vis à vis de mon travail;Autonomie;Ce que j'apprécie;1
"Autonomie; Adaptation; Droit à l'erreur";Autonomie;Ce que j'apprécie;1
"Autonomie; Ambiance amicale; Travail technique intéressant;";Autonomie;Ce que j'apprécie;1
"Autonomie; partage; bienveillance";Autonomie;Ce que j'apprécie;1
Autonomy;Autonomie;Ce que j'apprécie;1
aux étages difficiles de déplacement, être accompagné;Environnement;Ce qui me met en difficulté;1
Avant c'était chiant : je m'engueulais souvent. J'ai poussé un coup de gueule, le bureau s'était gouré plusieurs fois d'adresse.;Collectif;Ce qui me met en difficulté;1
Avantages matériels : voiture de fonction;Rémunération;Ce que j'apprécie;1
Avec certaines personnes on valorise (RH et Julie) les réussites et les personnes.;Reconnaissance;Ce que j'apprécie;1
Avec le comité culture : on essaie de montrer qu'on sait que qqch ne va pas, qu'on met des choses en place et tout le monde s'en fout => dur;Collectif;Ce qui me met en difficulté;1
Avec les agences, les contacts sont agréables, ils sont bienveillants. Pas d'animosité ou d'agressivité.  ;Collectif;Ce que j'apprécie;1
Avec mon métier de Chauffeur, je me sens libre d'organiser ma tournée;Autonomie;Ce que j'apprécie;1
Aventure humaine;Vision;Ce que j'apprécie;1
Avoir à changer d'équipe;Organisation;Ce qui me met en difficulté;1
Avoir de bons résultats, participer à la performance.;Vision;Ce que j'apprécie;1
Avoir la possibilité de progresser dans mon travail, via un accès aux ressources GCP très libre;Travail;Ce que j'apprécie;1
Avoir la totale confiance de mon manager sur nos projets;Autonomie;Ce que j'apprécie;1
Avoir le possibilité d'évoluer avec des personnes qui ont la même passions que moi (la musique), et pouvoir jouer avec d'autres musiciens en dehors des heures de travail;Collectif;Ce que j'apprécie;1
Avoir tous les infos au même moment. Un petit manque de communication. Au niveau middle management.;Communication;Ce qui me met en difficulté;1
Avoir un rôle impactant;Vision;Ce que j'apprécie;1
Avoir une responsabilité sur le projet;Autonomie;Ce que j'apprécie;1
Avoir des collaborateurs qui s'épanouissent et qui sont biens dans leur boulot. ;Travail;Ce que j'apprécie;1
bac mélangé;Travail;Ce qui me met en difficulté;1
bac mélangé papier et pôle  boisson;Travail;Ce qui me met en difficulté;1
bacs lourds;Travail;Ce qui me met en difficulté;1
"Bacs très lourds, surtout à pousser par notre force;Mauvaise isolation dans l'Atelier pendant l'été ou l'hiver;Difficile de trier avec les cartons";Travail;Ce qui me met en difficulté;1
Bacs très, très, très chargés;Travail;Ce qui me met en difficulté;1
bacs trop chargés;Travail;Ce qui me met en difficulté;1
bad communication: everything is informal;Communication;Ce qui me met en difficulté;1
Balance between job and personal life;Environnement;Ce qui me met en difficulté;1
Barrière entre les pôles : 3 ou 4 sociétés différentes dans une société;Collectif;Ce qui me met en difficulté;1
Bcp de choses à apprendre : c'est normal;Evolution;Ce qui me met en difficulté;1
Beaucoup d'autonomie;Autonomie;Ce que j'apprécie;1
Beaucoup de bienveillance et d'entraide entre tous, disponibilité si questions;Collectif;Ce que j'apprécie;1
Beaucoup de boulot ;Pression;Ce qui me met en difficulté;1
Beaucoup de responsabilité ;Autonomie;Ce que j'apprécie;1
Beaucoup de salariés ont envie d'apprendre ;Travail;Ce que j'apprécie;1
beaucoup de sourds;Autres;Ce que j'apprécie;1
Beaucoup d'échanges qui peuvent être une perte d'énergie parfois;Organisation;Ce qui me met en difficulté;1
Beaucoup trop de SALEFORCE;Organisation;Ce qui me met en difficulté;1
Being/trying to be at the top of the market;Vision;Ce que j'apprécie;1
benefits: gym, procedures, titres resto;Rémunération;Ce que j'apprécie;1
Besoin de faire la maman (les autres ne prennent pasd soin de leurs affaires;Autonomie;Ce qui me met en difficulté;1
Besoin de recrutement ne sont pas correctement définis;Organisation;Ce qui me met en difficulté;1
Besoin de travailler ;Travail;Ce que j'apprécie;1
Bien communiquer;Communication;Ce qui me met en difficulté;1
Bien me faire comprendre avec les collègues sourds;Communication;Ce qui me met en difficulté;1
bienveillance;Collectif;Ce que j'apprécie;1
Bienveillance (humain), l'ouverture, la reconnaissance. ;Collectif;Ce que j'apprécie;1
Bienveillance de l'équipe, communication facile et agréable;Collectif;Ce que j'apprécie;1
Boite naissante, tout à faire ;Travail;Ce que j'apprécie;1
Bon relationnel avec mes collègues ;Collectif;Ce que j'apprécie;1
Bonne ambiance avec les collègues;Collectif;Ce que j'apprécie;1
Bonne ambiance entre collègues même si je les vois peu, rigolade, pas d'engueulade et que des mots gentils ;Collectif;Ce que j'apprécie;1
Bonne ambiance, tous dans le même esprit, esprit de passionnés ;Collectif;Ce que j'apprécie;1
Bonne ambiance. Gens sympa. Motivé.;Collectif;Ce que j'apprécie;1
Bonne confiance les uns envers les autres ;Collectif;Ce que j'apprécie;1
Bonne entente avec les CA, avec tout le monde. On sait ce qu'on à faire;Priorités;Ce que j'apprécie;1
Bonne entente dans l'équipe;Collectif;Ce que j'apprécie;1
Bonne entente, une bonne ambiance de travail, on blague;Collectif;Ce que j'apprécie;1
Bonne humeur avec les clients.;Relation client;Ce que j'apprécie;1
Bonne relation avec Hugo;Collectif;Ce que j'apprécie;1
Bonne relation avec le client;Relation client;Ce que j'apprécie;1
boule au ventre légère: les rapports avec JC. Il a une façon de communiquer qui n'est pas toujours évidente;Collectif;Ce qui me met en difficulté;1
bruit;Environnement;Ce qui me met en difficulté;1
Bruits ambiants;Environnement;Ce qui me met en difficulté;1
Bugs dans des dépendances;Autres;Ce qui me met en difficulté;1
Ca m'énerve : les intérêts personnels. Les ambitions personnelles qui pourraient freiner le collectif. Rétention d'information;Collectif;Ce qui me met en difficulté;1
Ca se passe très bien avec Stéphane, Camille. Jean-Louis. ;Collectif;Ce que j'apprécie;1
Cadre de travail;Environnement;Ce que j'apprécie;1
caméra camion noir et blanc;Organisation;Ce qui me met en difficulté;1
Camion manuel;Organisation;Ce qui me met en difficulté;1
Caractère social;Vision;Ce que j'apprécie;1
carton papier;Travail;Ce que j'apprécie;1
Ce que je fais me plait;Travail;Ce que j'apprécie;1
"Ce que représente Baluchon. L'esprit archi dynamique des équipes; ";Vision;Ce que j'apprécie;1
Ce qui me blesse en ce moment : c'est quand je sens que ça peut amener des mauvaises interprétations : on ne me dit jamais rien, on me le dit après coup;Ouverture;Ce qui me met en difficulté;1
Ce qui motive : gagner son pain ;Rémunération;Ce que j'apprécie;1
Ce qui nous prend la tête, c'est la badgeuse. Le système n'était pas satisfaisant;Organisation;Ce qui me met en difficulté;1
Ce qu'on me demande de faire n'est pas toujours 100% aligné avec ce qui me passionne.;Travail;Ce qui me met en difficulté;1
Céline monitrice hyper investie;Accompagnement;Ce que j'apprécie;1
Certaine autonomie;Autonomie;Ce que j'apprécie;1
certains chauffeurs n'aident pas;Collectif;Ce qui me met en difficulté;1
certains circuits de validation;Organisation;Ce qui me met en difficulté;1
Certains clients qui se sentent supérieurs;Relation client;Ce qui me met en difficulté;1
Certains collègues;Collectif;Ce que j'apprécie;1
Certains échanges peuvent être compliqués avec le H-Level;Ouverture;Ce qui me met en difficulté;1
Certains qu'on soit bien organisé. Une orga saine. Eviter les prudhommes.;Organisation;Ce qui me met en difficulté;1
Certains sujets techniques;Travail;Ce que j'apprécie;1
c'est d'avoir une bonne entente avec l'équipe;Collectif;Ce que j'apprécie;1
C'est de faire de la collecte;Travail;Ce que j'apprécie;1
C'est de porter des bacs lourds;Travail;Ce qui me met en difficulté;1
c'est de suivre le rythme;Pression;Ce qui me met en difficulté;1
C'est de travailler à l'extérieur;Travail;Ce que j'apprécie;1
c'est de travailler avec des gens que je trouve beaucoup psychorigides;Collectif;Ce qui me met en difficulté;1
C'est différent chaque jour, chaque jour des nouvelles personnes, On ne s'ennuie pas trop;Travail;Ce que j'apprécie;1
C'est inquiétant qu'il n'y ait pas assez de personnes ayant besoin d'aide alors qu'il y a beaucoup de commandes;Collectif;Ce qui me met en difficulté;1
C'est la notion du temps : je trouve que tout va lentement;Organisation;Ce qui me met en difficulté;1
C'est le bordel. Il peut arriver des trucs aberrants;Organisation;Ce qui me met en difficulté;1
C'est le fait de travailler sur un nouvel outil et que personne n'a l'idée sur une question posée;Evolution;Ce qui me met en difficulté;1
C'est le travail que je souhaitais faire et j'aime le quotidien;Travail;Ce que j'apprécie;1
C'est quand la réponse ne vient toujours pas après une avoir posé une question sur  l’équipe sur teams;Communication;Ce qui me met en difficulté;1
c'est que tout était à bâtir par rapport aux formations;Travail;Ce que j'apprécie;1
C'est un peu trop coloc aussi. Un peu trop de liberté;Autonomie;Ce qui me met en difficulté;1
C'est un taf. ;Autres;Ce que j'apprécie;1
Chacun son comportement. Certains conducteurs sont toujours fatigués. Ils se plaignent, alors que tout est clair;Collectif;Ce qui me met en difficulté;1
Challenge;Travail;Ce que j'apprécie;1
Challenge constant : je m'ennuie pas;Travail;Ce que j'apprécie;1
Changement d'horaires parfois;Organisation;Ce qui me met en difficulté;1
"Chaque personne a la possibilité de s'exprimer et d'être entendue; notre agence a réussi à mettre en œuvre des solutions efficaces.";Ouverture;Ce que j'apprécie;2
charge de travail;Pression;Ce qui me met en difficulté;1
Charge de travail +++;Pression;Ce qui me met en difficulté;1
chauffeur;Travail;Ce que j'apprécie;1
Chauffeur bien Avec l’équipe bien Et j’aimerais évoluer;Travail;Ce que j'apprécie;1
Circulation de l'info n'est pas très fluide;Communication;Ce qui me met en difficulté;1
Clarté des périmètres;Organisation;Ce qui me met en difficulté;1
Clarté des responsabilités;Organisation;Ce qui me met en difficulté;1
client;Relation client;Ce qui me met en difficulté;1
Client en direct tres demandant;Relation client;Ce qui me met en difficulté;1
cohésion;Collectif;Ce que j'apprécie;1
cohésion de groupe;Collectif;Ce que j'apprécie;1
Cohésion d'entreprise entre les équipes : autres BU accessibles;Collectif;Ce que j'apprécie;1
Collègue;Collectif;Ce que j'apprécie;1
collegues;Collectif;Ce que j'apprécie;1
collègues;Collectif;Ce que j'apprécie;1
Collègues sympas;Collectif;Ce que j'apprécie;1
communication;Communication;Ce qui me met en difficulté;1
Communication  interne à repenser pour être effective et positiveSurcharge de travail des services supports ne permettant pas d'aller aussi loin que souhaiter dans les analysesDifficultés à suivre de manière rapprochée  les différents chantiers lancés;Communication;Ce qui me met en difficulté;1
Communication : Documentation / Transmission d'information pas assez fluide. Beaucoup d'oral ou d'infos sur channel Mattermost privés.;Communication;Ce qui me met en difficulté;1
communication avec les entendants;Communication;Ce qui me met en difficulté;1
Communication avec Woippy, pas de répoonse des fois;Communication;Ce qui me met en difficulté;1
Communication between teams about goals, and ongoing changes that might impact performance.;Communication;Ce qui me met en difficulté;1
Communication compliquée en dehors de mon équipe (relances, n'abouti pas à du concret, perte de motivation pour lancer de nouvelles initiatives).;Communication;Ce qui me met en difficulté;1
Communication difficulties;Communication;Ce qui me met en difficulté;1
Communication fluide.;Communication;Ce que j'apprécie;1
Communication interne. Le flow d'info circule difficilement;Communication;Ce qui me met en difficulté;1
Communication sourd entendant;Communication;Ce qui me met en difficulté;1
Communication top-down de ces dernières années sur ces décisions cruciales;Communication;Ce qui me met en difficulté;1
"communication; confiance";Autonomie;Ce qui me met en difficulté;1
communiquer avec les clients pour les sourds;Communication;Ce qui me met en difficulté;1
compréhension;Communication;Ce que j'apprécie;1
comprehension de mes differentes maladies;Collectif;Ce que j'apprécie;1
Comprendre certaines décisions en totale incohérence;Priorités;Ce qui me met en difficulté;1
Comprendre parfaitement l'unviers de la Tech (mais cela va venir !);Travail;Ce qui me met en difficulté;1
Comprendre vision long terme de l'entreprise;Vision;Ce qui me met en difficulté;1
concentration;Autres;Ce qui me met en difficulté;1
Concilier vie de famille et vie professionnelle;Environnement;Ce qui me met en difficulté;1
conduire;Travail;Ce que j'apprécie;1
conduire, les horaires, je dors peu ;Environnement;Ce qui me met en difficulté;1
confiance;Autonomie;Ce que j'apprécie;1
Confiance Direction;Autonomie;Ce que j'apprécie;1
"Confiance; autonomie; bienveillance";Autonomie;Ce que j'apprécie;1
Connaitre les limites en terme de marge de manœuvre;Communication;Ce qui me met en difficulté;1
CONSACRER DU TEMPS AUX PROBLEMES RECURRENTS : REFLECHIR ET COMPRENDRE LA PROBLEMATIQUE DU RYTHME DE TRAVAIL DE CES PUBLICS EN INSERTION;Priorités;Ce qui me met en difficulté;1
conséquence du premier point, ne pas pouvoir libérer un peu de temps parfois pour d'autres sujets (autoformation, présentations..);Pression;Ce qui me met en difficulté;1
Conséquence PRAP;Autres;Ce qui me met en difficulté;1
Constant renouvellement de l'organisation;Organisation;Ce qui me met en difficulté;1
Contact avec les autres, la efficace de productivité et Professionalisme.;Collectif;Ce que j'apprécie;1
Content de retourner au bureau le lundi matin. Harmonie au bureau. Une équipe brillante ! Multi-compétence ! Une forme de génie dans leur domaine. Admiratif.;Collectif;Ce que j'apprécie;1
Continuer de monter en compétence;Evolution;Ce que j'apprécie;1
Contrat de CDI, augmentation de salaire. ;Rémunération;Ce que j'apprécie;1
"Contre-coup de la diversité. Notre quotidien nous empêche de le faire, d'aller explorer le ""nouveau"". Pas le temps d'aider les autres. ";Pression;Ce qui me met en difficulté;1
contribution;Travail;Ce que j'apprécie;1
"Coopération transparente; Impact sur les décisions stratégiques et l'évolution de l'entreprise; Ambiance";Vision;Ce que j'apprécie;1
coprehension des superieurs;Collectif;Ce que j'apprécie;1
Coté démotivant car on nous dit qu'on est une charge;Collectif;Ce qui me met en difficulté;1
Coté informel. Tout le monde au même niveau. Très linéaire;Collectif;Ce que j'apprécie;1
Courir derrière le codir pour avoir des réponses, des décisions et difficulté de tous les avoirs en même temps;Communication;Ce qui me met en difficulté;1
"course contre la montre; deep dive;";Pression;Ce qui me met en difficulté;1
Création de YouRescue. ;Travail;Ce que j'apprécie;1
"Création d'emploi ; participer à la croissance et au développement de l'entreprise";Dynamique;Ce que j'apprécie;1
Creativitee;Travail;Ce que j'apprécie;1
Créer;Travail;Ce que j'apprécie;1
Créer des emplois pour les personnes en situation de handicap;Vision;Ce que j'apprécie;1
créer des emplois solidaires;Vision;Ce que j'apprécie;1
Créer des postes;Vision;Ce que j'apprécie;1
"Culture qui a du mal à évoluer : ""pourquoi tu fais grossir ton équipe tu as 3 salons dans l'année""";Collectif;Ce qui me met en difficulté;1
"Cycle de travail court inadapté au travail sur des ""gros chantiers""";Organisation;Ce qui me met en difficulté;1
Dans mon équipe, nous jouissons d'une transparence sans restriction.;Ouverture;Ce que j'apprécie;2
Dans quelle mesure la direction générale essaie d'être claire avec l'entreprise;Ouverture;Ce que j'apprécie;1
D'apprendre beaucoup;Evolution;Ce que j'apprécie;1
d'avoir une bonne connaissance de ce qu'il se passe;Communication;Ce qui me met en difficulté;1
De communiquer de façon claire avec d’autres équipes;Communication;Ce qui me met en difficulté;1
De faire marcher les cerveaux et de le faire collectivement;Travail;Ce que j'apprécie;1
De faire partie d'un groupe de personnes qui me ressemblent;Collectif;Ce que j'apprécie;1
De ne pas avoir de bureau d'ancrage à moi;Moyens;Ce qui me met en difficulté;1
De participer à des projets qui ne sont pas en contradiction avec mes valeurs;Vision;Ce que j'apprécie;1
De plus en plus de taches qui glissent du haut vers le bas. Les équipes ne sont pas plus étoffées.  ;Organisation;Ce qui me met en difficulté;1
de ranger la cour et les conteners;Travail;Ce que j'apprécie;1
de temps en temps des problèmes d'organisation sur certains projets;Organisation;Ce qui me met en difficulté;1
de travailler en continu et non en itérations, avec des demandes qui ne sont qu'urgentes;Pression;Ce qui me met en difficulté;1
De travailler pour une cause enthousiasmante;Vision;Ce que j'apprécie;1
De voir grandir les personnes que j'accompagne dans le travail d'équipe;Accompagnement;Ce que j'apprécie;1
de voir que les collègues ça va pas, que y'ait pas de vie au bureau, chacun mange à son bureau ;Collectif;Ce qui me met en difficulté;1
De voir qu'on produit plus, qu'on produit mieux, qu'il y a un mouvement;Dynamique;Ce que j'apprécie;1
"Déchets lourds = livres. Transpalettes pas pratique;Communication limitée avec les Responsables;Déséquilibre du nombre de personnes travaillées sur la gestion de tri (par exemple : moi seul sur le tri des papiers blancs alors qu'il y a 3 personnes assises";Travail;Ce qui me met en difficulté;1
décision était très très centralisée dans les mains de M. Thomas;Organisation;Ce qui me met en difficulté;1
décisions non prises;Organisation;Ce qui me met en difficulté;1
décisions très descendantes dont la cohérence avec le plan global est discutable;Organisation;Ce qui me met en difficulté;1
DECLOISONNER LES DIFFERENTES PRESTATIONS ENTRE ELLES : FFVE - ACTION DE FORMATION D'OUVRIER BOULANGER - ETC.;Organisation;Ce qui me met en difficulté;1
Découverte du fonctionnement du monde de l'entreprise;Evolution;Ce que j'apprécie;1
"Définition de mon périmètre de travail; Définition de mes responsabilités;";Organisation;Ce qui me met en difficulté;1
Délais dûs au fait qu'une seule personne puisse réaliser une tâche bloquante;Organisation;Ce qui me met en difficulté;1
Délais très courts qui vous empêche d'aller au bout du truc, de produire la qualité qu'on aimerait produire;Pression;Ce qui me met en difficulté;1
demande client avec des budgets très bas;Moyens;Ce qui me met en difficulté;1
demandes sont plus difficiles (Quand on n'a pas de stock sur un modèle, il y a de l'impatience de la part des clients);Relation client;Ce qui me met en difficulté;1
Dépanner les clients, le satisfaire, le plus rapidement possible, ou sinon trouver une autre solution;Travail;Ce que j'apprécie;1
départs des bons éléments;Autres;Ce qui me met en difficulté;1
des collègues au top;Collectif;Ce que j'apprécie;1
Des conflits qui sont survenus, face auxquels j'ai mis toute mon énergie.;Collectif;Ce qui me met en difficulté;1
Des équipes trop peu expérimenté;Evolution;Ce qui me met en difficulté;1
"Des flottements sur l'organisation ""système""";Organisation;Ce qui me met en difficulté;1
Des journées de7h30 à 20h ;Pression;Ce qui me met en difficulté;1
Des objectifs clairs de précision à atteindre;Priorités;Ce qui me met en difficulté;1
Des passionnés du métier;Travail;Ce que j'apprécie;1
Des taches qu'on aime moins faire;Travail;Ce qui me met en difficulté;1
Désaccord sur le modèle économique des produits / de l'entreprise;Vision;Ce qui me met en difficulté;1
déterminer notre positionnement vis-à-vis des concurrents avec les moyens accordés;Priorités;Ce qui me met en difficulté;1
d'etre bien a jours sur les techno;Evolution;Ce qui me met en difficulté;1
d'être chauffeur, isolé;Travail;Ce que j'apprécie;1
d'être envoyé parfois sur des missions qui ne me correspondent pas, je ne me sens pas à ma place;Accompagnement;Ce qui me met en difficulté;1
D'être leader dans notre domaine;Dynamique;Ce que j'apprécie;1
Dévellopement de mes compètences techniques;Evolution;Ce que j'apprécie;1
Développer des jeux;Travail;Ce que j'apprécie;1
Devoir courir après des informations, c'est fatiguant;Communication;Ce qui me met en difficulté;1
Devoir prendre des décisions lorsque mon manager n'est pas là;Autonomie;Ce qui me met en difficulté;1
Diagnostic agence de Woippy : les autres agences, elle se sentent seules et font les choses par elles même;Organisation;Ce qui me met en difficulté;1
Dialogue sans trop de protocole.Disponibilité d'écoute de la hiérarchie. Humilité de certains cadres, même au plus haut niveau.;Ouverture;Ce que j'apprécie;1
DIB;Travail;Ce qui me met en difficulté;1
Différentes tâches. Varié. Je ne m'ennuie pas. ;Travail;Ce que j'apprécie;1
Difficile à répondre à cette question : Depuis que je suis arrivé chez Acatus, j'ai toujours été en mission clientèle. Donc très peu présent en agence.;Autres;Ce que j'apprécie;1
Difficile d'accepter de faire plus de gestion de projet et moins de tâches R&D;Travail;Ce qui me met en difficulté;1
Difficile de se concentrer lorsqu'on est beaucoup dans le bureau. Si j'avais un bureau seul fermé, je serais plus productif. Pourtant je suis le premier à déconner. ;Environnement;Ce qui me met en difficulté;1
Difficile de toujours suivre l'orientation de l'entreprise (fait-on des apps créatives, fait-on des jeux, fait-on du matériel pour professionnels ?);Vision;Ce qui me met en difficulté;1
difficulté à mesurer quantitativement et qualitativement mon impact sur les resultats de l'entreprise;Vision;Ce qui me met en difficulté;1
Difficulté à supporter un collègue particulier;Collectif;Ce qui me met en difficulté;1
Difficulté de se garer (sur paris);Environnement;Ce qui me met en difficulté;1
Difficulté de se rapprocher des autres pôles.;Collectif;Ce qui me met en difficulté;1
"Difficulté pour nous mettre d'accord; Volume de travail et jalons ambitieux; Charge mentale;";Pression;Ce qui me met en difficulté;1
difficultés techniques uniquement;Travail;Ce qui me met en difficulté;1
Difficulty for products to succeed despite our best efforts;Dynamique;Ce qui me met en difficulté;1
Dimension d'équipe importante : la chance d'avoir, notamment au niveau de l'équipe dirigeante, des gens impliqués ;Collectif;Ce que j'apprécie;1
directrice un peu tyran ;Vision;Ce qui me met en difficulté;1
Dirigeants : Christophe et Tristan => accessibles, ils ne font pas peur, ils sont abordables. Pas de cassure;Collectif;Ce que j'apprécie;1
discussions possibles et efficace avec la direction;Ouverture;Ce que j'apprécie;1
Discuter avec mes collègues;Collectif;Ce que j'apprécie;1
Disponibilité du manager;Accompagnement;Ce que j'apprécie;1
Distinction entre fonctions support et ingénierie;Organisation;Ce qui me met en difficulté;1
diversité des activités;Travail;Ce que j'apprécie;1
Diversité des sujets ;Travail;Ce que j'apprécie;1
Diversité des travaux;Travail;Ce que j'apprécie;1
Doing things for nothing. I can't see the impact nor the result of the work I do and 90% of the time it seems useless.;Reconnaissance;Ce qui me met en difficulté;1
Domaine (musique);Travail;Ce que j'apprécie;1
